|"cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies"
5|"10143261|2020-07-29|Masculino|1978-09-09|peixe|quente|Chá|Aprender algo novo"
0|"10142127|2020-12-22|Masculino|1998-08-02|cachorro|frio|Chá|Ler livros"
1|"10142161|2020-12-22|Masculino|1973-09-21|gato|frio|Cerveja|Aprender algo novo"
2|"10142893|2020-12-22|Masculino|1955-08-01|tartaruga|quente|Chá|Praticar esporte"
3|"10142977|2020-12-22|Masculino|1966-12-28|tartaruga|moderado|Cerveja|Dormir"
4|"10143062|2020-12-22|Masculino|1993-02-10|gato|frio|Água|Pintar quadros"
5|"10143142|2020-12-22|Feminino|1956-09-04|peixe|frio|Água|Praticar esporte"
6|"10143227|2020-12-22|Masculino|1986-02-21|peixe|quente|Vinho|Aprender algo novo"
0|"10141761|2020-08-27|Masculino|1956-02-22|gato|quente|Café|Escrever"
1|"10142314|2020-08-27|Masculino|1961-03-07|peixe|frio|refrigerante|Pintar quadros"
2|"10142507|2020-08-27|Masculino|1980-03-24|peixe|quente|Água|Escutar música"
3|"10143270|2020-08-27|Feminino|1995-03-24|tartaruga|frio|Vinho|Assistir TV"
4|"10143533|2020-08-27|Feminino|1992-04-29|peixe|quente|Café|Ler livros"
5|"10143537|2020-08-27|Masculino|1957-01-30|gato|moderado|Água|Escutar música"
0|"10141998|2020-03-09|Feminino|1994-10-18|gato|moderado|refrigerante|Aprender algo novo"
1|"10142039|2020-03-09|Feminino|1956-02-23|gato|moderado|Café|Escutar música"
2|"10142257|2020-03-09|Masculino|1951-11-06|cachorro|quente|Café|Pintar quadros"
3|"10142264|2020-03-09|Masculino|1962-08-20|tartaruga|frio|Cerveja|Dormir"
4|"10142682|2020-03-09|Masculino|1992-11-25|tartaruga|quente|Café|Escutar música"
5|"10142985|2020-03-09|Masculino|1970-04-05|peixe|quente|Chá|Pintar quadros"
6|"10143477|2020-03-09|Feminino|1996-07-22|peixe|quente|Vinho|Ler livros"
0|"10141616|2020-05-09|Feminino|1982-07-20|tartaruga|moderado|Vinho|Assistir TV"
1|"10142384|2020-05-09|Masculino|1990-10-24|gato|quente|Água|Dormir"
2|"10142646|2020-05-09|Feminino|1994-05-27|gato|quente|Cerveja|Ler livros"
3|"10142882|2020-05-09|Masculino|1974-11-04|gato|frio|Café|Dormir"
4|"10142898|2020-05-09|Masculino|1995-12-27|cachorro|moderado|Chá|Dormir"
5|"10143349|2020-05-09|Feminino|1962-09-24|tartaruga|moderado|Vinho|Assistir TV"
6|"10143435|2020-05-09|Feminino|1980-05-20|peixe|quente|Água|Praticar esporte"
0|"10142018|2020-03-24|Feminino|1964-01-17|tartaruga|frio|Água|Escutar música"
1|"10142225|2020-03-24|Masculino|1973-11-03|peixe|frio|Cerveja|Praticar esporte"
2|"10142297|2020-03-24|Masculino|1988-09-02|gato|frio|refrigerante|Assistir TV"
3|"10142726|2020-03-24|Masculino|1987-08-05|gato|moderado|Água|Escrever"
4|"10143598|2020-03-24|Feminino|1951-07-29|gato|moderado|Chá|Dormir"
0|"10141719|2020-10-24|Feminino|1986-09-17|peixe|moderado|Água|Dormir"
1|"10141868|2020-10-24|Feminino|1977-05-22|gato|moderado|Cerveja|Dormir"
2|"10141883|2020-10-24|Feminino|1981-03-22|peixe|moderado|refrigerante|Escutar música"
3|"10142375|2020-10-24|Masculino|1972-05-04|cachorro|moderado|Vinho|Escutar música"
4|"10142957|2020-10-24|Masculino|1975-01-05|gato|moderado|refrigerante|Aprender algo novo"
5|"10143528|2020-10-24|Masculino|1975-04-06|gato|quente|Cerveja|Escrever"
6|"10143573|2020-10-24|Masculino|1975-10-13|peixe|quente|Cerveja|Ler livros"
0|"10142037|2020-08-10|Feminino|1977-08-18|gato|moderado|Cerveja|Ler livros"
1|"10142592|2020-08-10|Masculino|1964-09-05|tartaruga|quente|Água|Aprender algo novo"
2|"10143378|2020-08-10|Masculino|1970-04-26|cachorro|moderado|Água|Escrever"
3|"10143442|2020-08-10|Feminino|1970-11-18|cachorro|quente|Vinho|Dormir"
0|"10142024|2020-07-01|Feminino|1955-04-11|tartaruga|quente|Café|Escrever"
1|"10142064|2020-07-01|Feminino|1999-11-07|tartaruga|frio|refrigerante|Assistir TV"
2|"10142368|2020-07-01|Masculino|1964-05-23|cachorro|frio|Água|Ler livros"
3|"10142885|2020-07-01|Masculino|1967-07-31|cachorro|frio|Café|Aprender algo novo"
4|"10143208|2020-07-01|Masculino|1966-02-20|cachorro|frio|Chá|Aprender algo novo"
5|"10143296|2020-07-01|Masculino|1966-12-07|tartaruga|quente|refrigerante|Escutar música"
0|"10141503|2020-04-19|Masculino|1963-02-18|cachorro|frio|refrigerante|Praticar esporte"
1|"10142433|2020-04-19|Masculino|1976-02-04|gato|moderado|refrigerante|Escutar música"
2|"10142446|2020-04-19|Masculino|1973-08-04|peixe|moderado|refrigerante|Praticar esporte"
3|"10142450|2020-04-19|Masculino|1986-03-15|gato|frio|Água|Dormir"
4|"10142513|2020-04-19|Masculino|1976-04-14|peixe|frio|Café|Dormir"
5|"10142714|2020-04-19|Masculino|1997-02-13|peixe|frio|Café|Pintar quadros"
0|"10142125|2020-06-09|Feminino|1981-08-13|peixe|moderado|Água|Escutar música"
1|"10142378|2020-06-09|Masculino|1958-12-02|cachorro|moderado|Vinho|Dormir"
2|"10142495|2020-06-09|Masculino|1965-12-15|gato|quente|Vinho|Praticar esporte"
3|"10142543|2020-06-09|Masculino|1974-05-27|tartaruga|moderado|Água|Assistir TV"
4|"10143468|2020-06-09|Masculino|1976-06-26|cachorro|frio|Cerveja|Ler livros"
0|"10141846|2020-06-29|Masculino|1970-12-05|tartaruga|moderado|Cerveja|Praticar esporte"
1|"10141934|2020-06-29|Feminino|1954-09-02|cachorro|frio|Vinho|Assistir TV"
2|"10141985|2020-06-29|Feminino|1978-05-26|peixe|quente|Chá|Pintar quadros"
3|"10142684|2020-06-29|Masculino|1968-06-12|tartaruga|frio|refrigerante|Aprender algo novo"
4|"10142822|2020-06-29|Masculino|1980-12-03|gato|moderado|Chá|Ler livros"
5|"10142886|2020-06-29|Masculino|1972-12-07|gato|frio|Cerveja|Assistir TV"
6|"10143213|2020-06-29|Masculino|1983-12-28|tartaruga|moderado|Vinho|Aprender algo novo"
0|"10141575|2020-09-19|Masculino|1958-05-07|cachorro|frio|Água|Praticar esporte"
1|"10141714|2020-09-19|Feminino|1989-05-27|peixe|quente|refrigerante|Ler livros"
2|"10141890|2020-09-19|Feminino|1989-09-09|gato|frio|Chá|Escrever"
3|"10142516|2020-09-19|Masculino|1978-08-04|gato|moderado|Café|Ler livros"
4|"10143546|2020-09-19|Masculino|1978-12-28|gato|frio|Chá|Dormir"
0|"10141598|2020-09-25|Feminino|1959-11-01|gato|frio|Chá|Dormir"
1|"10141678|2020-09-25|Masculino|1991-10-28|tartaruga|moderado|Chá|Escrever"
2|"10142055|2020-09-25|Masculino|1985-07-02|cachorro|moderado|Água|Aprender algo novo"
3|"10142192|2020-09-25|Masculino|1960-03-15|tartaruga|moderado|Café|Escutar música"
4|"10142345|2020-09-25|Masculino|1974-08-16|gato|frio|Chá|Ler livros"
0|"10142052|2020-09-12|Feminino|1960-02-14|cachorro|quente|Cerveja|Escutar música"
1|"10142339|2020-09-12|Masculino|1987-02-13|cachorro|frio|Café|Praticar esporte"
2|"10142426|2020-09-12|Masculino|1957-05-07|cachorro|moderado|refrigerante|Assistir TV"
3|"10142894|2020-09-12|Masculino|1951-08-29|gato|moderado|Cerveja|Escutar música"
4|"10143172|2020-09-12|Masculino|1984-06-13|gato|moderado|Café|Dormir"
5|"10143256|2020-09-12|Masculino|1960-04-15|gato|moderado|Água|Dormir"
6|"10143336|2020-09-12|Feminino|1988-05-28|peixe|moderado|Água|Dormir"
0|"10141565|2020-01-31|Feminino|1977-02-22|gato|frio|Vinho|Ler livros"
1|"10142079|2020-01-31|Masculino|1982-12-01|gato|quente|refrigerante|Dormir"
2|"10142232|2020-01-31|Masculino|1983-01-09|tartaruga|frio|Cerveja|Dormir"
3|"10142572|2020-01-31|Masculino|1963-02-08|peixe|moderado|Cerveja|Assistir TV"
4|"10142640|2020-01-31|Feminino|1987-07-06|tartaruga|moderado|Água|Escutar música"
5|"10142750|2020-01-31|Masculino|1954-05-31|cachorro|frio|Café|Pintar quadros"
6|"10142918|2020-01-31|Masculino|1961-10-26|gato|moderado|Água|Dormir"
7|"10142987|2020-01-31|Masculino|1976-10-26|cachorro|frio|Chá|Aprender algo novo"
8|"10143060|2020-01-31|Masculino|1997-11-08|gato|moderado|refrigerante|Praticar esporte"
9|"10143120|2020-01-31|Feminino|1965-08-11|peixe|frio|Café|Dormir"
0|"10141643|2020-03-21|Masculino|1973-11-11|tartaruga|frio|Água|Aprender algo novo"
1|"10141865|2020-03-21|Feminino|1960-10-26|peixe|quente|Café|Escutar música"
2|"10141989|2020-03-21|Feminino|1993-01-30|gato|frio|Café|Praticar esporte"
3|"10142013|2020-03-21|Feminino|1973-03-23|tartaruga|moderado|Água|Ler livros"
4|"10142222|2020-03-21|Masculino|1996-06-20|gato|moderado|refrigerante|Assistir TV"
5|"10142318|2020-03-21|Masculino|1992-01-06|tartaruga|moderado|Cerveja|Ler livros"
6|"10142347|2020-03-21|Masculino|1956-11-01|tartaruga|frio|Vinho|Escutar música"
7|"10142550|2020-03-21|Masculino|1972-02-10|tartaruga|frio|Vinho|Assistir TV"
8|"10142864|2020-03-21|Masculino|1995-03-25|cachorro|frio|Vinho|Escutar música"
9|"10142982|2020-03-21|Masculino|1960-01-18|gato|quente|Chá|Dormir"
0|"10141651|2020-07-15|Feminino|1977-05-16|tartaruga|moderado|Água|Escutar música"
1|"10142846|2020-07-15|Masculino|1996-09-06|peixe|quente|Cerveja|Pintar quadros"
2|"10142857|2020-07-15|Masculino|1964-09-08|peixe|frio|Cerveja|Assistir TV"
3|"10143505|2020-07-15|Masculino|1971-04-30|peixe|frio|Água|Aprender algo novo"
0|"10141578|2020-12-14|Feminino|1951-04-28|gato|moderado|Água|Pintar quadros"
1|"10141749|2020-12-14|Masculino|1969-11-06|gato|moderado|Água|Assistir TV"
2|"10142329|2020-12-14|Masculino|1950-07-18|gato|moderado|Chá|Escrever"
3|"10142344|2020-12-14|Masculino|1998-04-05|cachorro|quente|Vinho|Assistir TV"
4|"10142690|2020-12-14|Masculino|1974-06-10|gato|frio|Café|Pintar quadros"
5|"10142699|2020-12-14|Masculino|1981-03-19|gato|frio|Água|Aprender algo novo"
6|"10142715|2020-12-14|Masculino|1998-07-15|peixe|frio|refrigerante|Aprender algo novo"
0|"10142113|2020-03-25|Feminino|1989-01-24|tartaruga|frio|Chá|Aprender algo novo"
1|"10142169|2020-03-25|Masculino|1992-10-20|gato|quente|Água|Praticar esporte"
2|"10142261|2020-03-25|Masculino|1956-07-27|gato|frio|Cerveja|Assistir TV"
3|"10142776|2020-03-25|Masculino|1967-08-27|gato|frio|Vinho|Aprender algo novo"
0|"10141533|2020-08-04|Feminino|1956-07-11|gato|frio|Chá|Escrever"
1|"10141687|2020-08-04|Masculino|1964-01-14|gato|frio|Café|Assistir TV"
2|"10142657|2020-08-04|Masculino|1989-01-27|tartaruga|quente|Água|Dormir"
0|"10142115|2020-05-16|Masculino|1998-10-17|cachorro|moderado|Água|Ler livros"
1|"10142749|2020-05-16|Masculino|1971-01-01|peixe|moderado|Café|Escrever"
2|"10142972|2020-05-16|Masculino|1982-12-20|gato|frio|Chá|Aprender algo novo"
3|"10143610|2020-05-16|Feminino|1989-10-22|gato|moderado|Café|Assistir TV"
0|"10141514|2020-04-02|Masculino|1999-01-29|tartaruga|moderado|Cerveja|Assistir TV"
1|"10141661|2020-04-02|Feminino|1966-02-16|peixe|frio|Chá|Praticar esporte"
2|"10142326|2020-04-02|Masculino|1999-12-14|gato|moderado|Vinho|Escrever"
3|"10142648|2020-04-02|Feminino|1953-05-12|gato|moderado|Café|Escutar música"
0|"10141709|2020-08-06|Feminino|1987-08-14|tartaruga|moderado|Cerveja|Dormir"
1|"10142193|2020-08-06|Masculino|1988-04-22|gato|moderado|refrigerante|Escutar música"
2|"10142717|2020-08-06|Masculino|1977-01-26|gato|quente|Cerveja|Praticar esporte"
3|"10143283|2020-08-06|Feminino|1978-12-13|gato|frio|Chá|Assistir TV"
4|"10143497|2020-08-06|Masculino|1954-12-11|gato|quente|Café|Dormir"
5|"10143612|2020-08-06|Masculino|1961-01-14|gato|frio|Água|Praticar esporte"
0|"10141949|2020-12-13|Masculino|1993-09-15|peixe|quente|refrigerante|Assistir TV"
1|"10142088|2020-12-13|Masculino|1985-04-03|gato|frio|Vinho|Ler livros"
2|"10142299|2020-12-13|Masculino|1978-11-08|tartaruga|frio|Cerveja|Pintar quadros"
3|"10142319|2020-12-13|Masculino|1988-08-19|gato|moderado|Água|Pintar quadros"
4|"10142544|2020-12-13|Masculino|1993-04-27|peixe|frio|Chá|Escutar música"
5|"10143064|2020-12-13|Masculino|1964-04-14|gato|moderado|Cerveja|Escutar música"
6|"10143106|2020-12-13|Masculino|1965-02-11|peixe|moderado|refrigerante|Praticar esporte"
7|"10143312|2020-12-13|Masculino|1993-10-21|tartaruga|quente|refrigerante|Ler livros"
8|"10143333|2020-12-13|Feminino|1951-02-15|cachorro|quente|Café|Aprender algo novo"
0|"10142005|2020-11-22|Feminino|1963-10-29|cachorro|quente|Vinho|Pintar quadros"
1|"10142480|2020-11-22|Masculino|1984-07-25|peixe|frio|Café|Ler livros"
2|"10142955|2020-11-22|Masculino|1960-06-08|tartaruga|moderado|Chá|Escrever"
3|"10143281|2020-11-22|Feminino|1953-08-09|gato|moderado|Chá|Ler livros"
4|"10143585|2020-11-22|Feminino|1965-07-08|cachorro|moderado|Chá|Ler livros"
0|"10141896|2020-07-30|Feminino|1970-04-12|tartaruga|moderado|Vinho|Ler livros"
1|"10141905|2020-07-30|Feminino|1977-11-09|tartaruga|moderado|Cerveja|Praticar esporte"
2|"10142142|2020-07-30|Masculino|1984-05-30|cachorro|moderado|Cerveja|Escrever"
3|"10142216|2020-07-30|Masculino|1996-10-22|gato|moderado|Cerveja|Escutar música"
4|"10142423|2020-07-30|Masculino|1982-01-11|cachorro|moderado|Chá|Ler livros"
5|"10142611|2020-07-30|Feminino|1956-01-22|peixe|frio|refrigerante|Pintar quadros"
6|"10143338|2020-07-30|Feminino|1968-05-29|peixe|frio|Cerveja|Escrever"
7|"10143548|2020-07-30|Masculino|1958-12-07|tartaruga|quente|Água|Dormir"
0|"10142047|2020-10-20|Feminino|1996-11-08|tartaruga|moderado|refrigerante|Pintar quadros"
1|"10142239|2020-10-20|Masculino|1995-04-13|cachorro|quente|Vinho|Praticar esporte"
2|"10142583|2020-10-20|Masculino|1983-09-09|gato|moderado|Café|Dormir"
3|"10142838|2020-10-20|Masculino|1982-08-06|gato|frio|Vinho|Ler livros"
4|"10143101|2020-10-20|Masculino|1999-02-21|gato|quente|refrigerante|Ler livros"
5|"10143344|2020-10-20|Masculino|1967-06-27|cachorro|frio|Café|Assistir TV"
0|"10142365|2020-07-20|Masculino|1991-12-18|gato|frio|Água|Praticar esporte"
1|"10142464|2020-07-20|Masculino|1967-12-26|cachorro|quente|Cerveja|Ler livros"
2|"10142527|2020-07-20|Masculino|1968-08-11|tartaruga|moderado|refrigerante|Ler livros"
3|"10142835|2020-07-20|Masculino|1997-07-31|gato|moderado|Vinho|Escutar música"
4|"10143570|2020-07-20|Feminino|1986-01-07|tartaruga|quente|Chá|Assistir TV"
0|"10141907|2020-07-25|Feminino|1969-11-01|gato|frio|Cerveja|Escrever"
1|"10142008|2020-07-25|Feminino|1961-02-16|peixe|moderado|Café|Escrever"
2|"10142177|2020-07-25|Masculino|1963-10-21|cachorro|moderado|Cerveja|Escrever"
3|"10142295|2020-07-25|Masculino|1978-05-26|gato|frio|Chá|Aprender algo novo"
4|"10142341|2020-07-25|Masculino|1998-07-19|tartaruga|quente|refrigerante|Praticar esporte"
5|"10142443|2020-07-25|Masculino|1952-07-10|tartaruga|frio|Água|Pintar quadros"
6|"10142734|2020-07-25|Masculino|1957-04-18|cachorro|moderado|Água|Escutar música"
7|"10142902|2020-07-25|Masculino|1988-07-15|tartaruga|quente|Água|Escrever"
8|"10143245|2020-07-25|Masculino|1965-05-31|cachorro|quente|refrigerante|Praticar esporte"
0|"10141642|2020-05-22|Masculino|1986-02-23|gato|moderado|Vinho|Aprender algo novo"
1|"10142474|2020-05-22|Masculino|1965-09-21|peixe|quente|Café|Aprender algo novo"
2|"10142593|2020-05-22|Masculino|1994-11-29|gato|moderado|refrigerante|Ler livros"
3|"10142919|2020-05-22|Masculino|1958-02-11|gato|quente|Cerveja|Dormir"
0|"10142180|2020-10-13|Masculino|1967-02-24|peixe|quente|refrigerante|Aprender algo novo"
1|"10142437|2020-10-13|Masculino|1951-01-05|peixe|frio|Chá|Ler livros"
2|"10142937|2020-10-13|Masculino|1954-09-18|gato|quente|Chá|Escrever"
3|"10142959|2020-10-13|Masculino|1993-10-15|peixe|frio|refrigerante|Dormir"
4|"10142996|2020-10-13|Masculino|1956-06-14|gato|quente|Cerveja|Praticar esporte"
5|"10143127|2020-10-13|Feminino|1993-12-16|cachorro|quente|Água|Pintar quadros"
6|"10143135|2020-10-13|Feminino|1997-10-11|tartaruga|frio|Água|Escrever"
7|"10143216|2020-10-13|Masculino|1970-02-22|tartaruga|moderado|refrigerante|Praticar esporte"
8|"10143470|2020-10-13|Feminino|1966-06-09|peixe|moderado|Vinho|Assistir TV"
0|"10141767|2020-05-05|Masculino|1956-11-14|gato|frio|Água|Pintar quadros"
1|"10141866|2020-05-05|Feminino|1978-04-20|tartaruga|moderado|Cerveja|Dormir"
2|"10141937|2020-05-05|Feminino|1979-06-29|cachorro|frio|Água|Pintar quadros"
3|"10142676|2020-05-05|Masculino|1951-05-20|gato|moderado|Água|Ler livros"
4|"10142739|2020-05-05|Masculino|1971-04-06|gato|quente|Água|Pintar quadros"
5|"10143291|2020-05-05|Masculino|1989-01-07|cachorro|frio|Vinho|Aprender algo novo"
0|"10141764|2020-11-29|Masculino|1951-06-11|peixe|frio|Chá|Praticar esporte"
1|"10141833|2020-11-29|Feminino|1963-02-06|gato|frio|Chá|Assistir TV"
2|"10142165|2020-11-29|Masculino|1985-06-09|tartaruga|quente|Café|Dormir"
3|"10142578|2020-11-29|Masculino|1991-08-03|gato|frio|Chá|Dormir"
4|"10142658|2020-11-29|Masculino|1965-08-02|gato|frio|Chá|Pintar quadros"
5|"10143306|2020-11-29|Feminino|1987-04-22|gato|quente|Chá|Ler livros"
6|"10143395|2020-11-29|Masculino|1963-09-25|gato|frio|Vinho|Dormir"
0|"10141696|2020-09-22|Masculino|1990-06-16|tartaruga|quente|Cerveja|Ler livros"
1|"10142281|2020-09-22|Masculino|1992-01-21|gato|frio|Vinho|Praticar esporte"
2|"10142963|2020-09-22|Masculino|1955-01-16|peixe|moderado|Cerveja|Escutar música"
0|"10141562|2020-11-24|Feminino|1979-05-17|tartaruga|quente|Vinho|Aprender algo novo"
1|"10141879|2020-11-24|Feminino|1991-05-18|tartaruga|moderado|Vinho|Aprender algo novo"
2|"10141915|2020-11-24|Masculino|1986-02-10|peixe|moderado|refrigerante|Pintar quadros"
3|"10141992|2020-11-24|Feminino|1981-09-17|gato|moderado|Água|Escutar música"
4|"10142240|2020-11-24|Masculino|1951-08-06|tartaruga|moderado|Água|Ler livros"
5|"10142821|2020-11-24|Masculino|1958-06-22|gato|moderado|Café|Aprender algo novo"
6|"10142840|2020-11-24|Masculino|1989-08-19|peixe|frio|Chá|Escrever"
7|"10142965|2020-11-24|Masculino|1991-08-26|gato|quente|Café|Assistir TV"
8|"10143527|2020-11-24|Masculino|1969-09-26|tartaruga|moderado|Café|Aprender algo novo"
9|"10143568|2020-11-24|Feminino|1998-07-14|peixe|frio|refrigerante|Ler livros"
10|"10143599|2020-11-24|Feminino|1993-03-16|cachorro|frio|Chá|Escutar música"
0|"10142188|2020-05-18|Masculino|1990-06-21|gato|moderado|Cerveja|Assistir TV"
1|"10142197|2020-05-18|Masculino|1966-02-22|gato|frio|Água|Escrever"
2|"10142528|2020-05-18|Masculino|1983-12-07|peixe|frio|refrigerante|Praticar esporte"
3|"10142566|2020-05-18|Masculino|1972-12-14|tartaruga|frio|refrigerante|Dormir"
4|"10143335|2020-05-18|Feminino|1970-01-11|peixe|frio|Café|Ler livros"
5|"10143392|2020-05-18|Masculino|1995-10-22|gato|frio|Cerveja|Praticar esporte"
6|"10143471|2020-05-18|Feminino|1978-06-13|tartaruga|frio|Cerveja|Escrever"
7|"10143563|2020-05-18|Masculino|1979-01-30|gato|moderado|refrigerante|Praticar esporte"
0|"10141584|2020-07-31|Feminino|1963-11-27|cachorro|quente|refrigerante|Praticar esporte"
1|"10141628|2020-07-31|Feminino|1976-03-23|cachorro|quente|Cerveja|Escutar música"
2|"10141781|2020-07-31|Feminino|1956-03-17|gato|moderado|Café|Praticar esporte"
3|"10142555|2020-07-31|Masculino|1954-09-05|gato|moderado|Vinho|Praticar esporte"
4|"10142833|2020-07-31|Masculino|1978-10-23|gato|moderado|Cerveja|Dormir"
5|"10142988|2020-07-31|Masculino|1951-01-23|tartaruga|moderado|Café|Assistir TV"
6|"10143071|2020-07-31|Masculino|1984-01-26|gato|moderado|Chá|Assistir TV"
7|"10143124|2020-07-31|Feminino|1990-11-22|gato|frio|Chá|Assistir TV"
0|"10141531|2020-06-14|Feminino|1950-11-01|tartaruga|quente|Chá|Dormir"
1|"10141746|2020-06-14|Masculino|1965-12-14|cachorro|quente|refrigerante|Escrever"
2|"10142316|2020-06-14|Masculino|1971-05-29|tartaruga|quente|refrigerante|Escutar música"
3|"10142349|2020-06-14|Masculino|1971-12-18|peixe|frio|Café|Pintar quadros"
4|"10142806|2020-06-14|Masculino|1990-01-28|peixe|frio|refrigerante|Pintar quadros"
5|"10142875|2020-06-14|Masculino|1989-07-31|gato|frio|Água|Escutar música"
6|"10143362|2020-06-14|Feminino|1979-09-01|peixe|quente|Café|Assistir TV"
0|"10142184|2020-05-08|Masculino|1990-02-04|gato|moderado|Chá|Assistir TV"
1|"10143258|2020-05-08|Masculino|1999-07-03|gato|frio|Chá|Ler livros"
0|"10141541|2020-08-05|Masculino|1987-12-02|cachorro|frio|Água|Dormir"
1|"10141754|2020-08-05|Masculino|1956-01-25|gato|moderado|refrigerante|Escrever"
2|"10142250|2020-08-05|Masculino|1989-04-11|cachorro|quente|Café|Escutar música"
3|"10142672|2020-08-05|Masculino|1961-03-07|gato|moderado|refrigerante|Escrever"
4|"10143187|2020-08-05|Masculino|1952-08-31|peixe|quente|refrigerante|Escrever"
5|"10143293|2020-08-05|Masculino|1984-05-18|tartaruga|frio|Chá|Assistir TV"
0|"10141784|2020-03-26|Feminino|1995-11-04|gato|frio|Água|Praticar esporte"
1|"10141961|2020-03-26|Feminino|1950-12-02|cachorro|frio|Cerveja|Dormir"
2|"10142156|2020-03-26|Masculino|1989-05-02|peixe|frio|Café|Pintar quadros"
3|"10142371|2020-03-26|Masculino|1950-05-04|tartaruga|moderado|Cerveja|Escrever"
4|"10142414|2020-03-26|Feminino|1990-07-08|peixe|frio|Água|Pintar quadros"
5|"10142666|2020-03-26|Masculino|1992-10-13|gato|frio|Café|Aprender algo novo"
6|"10142700|2020-03-26|Masculino|1959-08-18|gato|moderado|Chá|Praticar esporte"
7|"10142811|2020-03-26|Masculino|1986-09-30|gato|quente|Vinho|Assistir TV"
8|"10143074|2020-03-26|Masculino|1969-07-23|tartaruga|frio|Café|Assistir TV"
9|"10143081|2020-03-26|Masculino|1951-03-02|peixe|quente|Chá|Pintar quadros"
0|"10141701|2020-04-29|Masculino|1998-08-09|cachorro|quente|Café|Dormir"
1|"10142104|2020-04-29|Feminino|1999-09-22|gato|moderado|Cerveja|Pintar quadros"
2|"10142259|2020-04-29|Masculino|1984-04-21|cachorro|frio|Vinho|Assistir TV"
3|"10142279|2020-04-29|Masculino|1950-10-12|gato|frio|Vinho|Dormir"
4|"10143123|2020-04-29|Masculino|1973-03-14|gato|moderado|Café|Pintar quadros"
0|"10141600|2020-04-28|Feminino|1969-11-22|gato|quente|Vinho|Praticar esporte"
1|"10141660|2020-04-28|Masculino|1987-11-13|cachorro|moderado|Vinho|Aprender algo novo"
2|"10141963|2020-04-28|Feminino|1968-01-29|gato|moderado|Vinho|Dormir"
3|"10142469|2020-04-28|Masculino|1982-09-23|peixe|frio|Café|Assistir TV"
4|"10142595|2020-04-28|Masculino|1956-01-06|gato|quente|Café|Aprender algo novo"
5|"10142769|2020-04-28|Masculino|1979-11-18|peixe|moderado|Chá|Escutar música"
6|"10143414|2020-04-28|Masculino|1967-08-26|peixe|quente|Água|Escrever"
0|"10142278|2020-07-16|Masculino|1994-03-08|peixe|frio|Chá|Assistir TV"
1|"10142411|2020-07-16|Masculino|1958-02-04|gato|moderado|Água|Aprender algo novo"
0|"10141620|2020-03-04|Feminino|1996-01-31|peixe|quente|Cerveja|Assistir TV"
1|"10141917|2020-03-04|Feminino|1992-07-23|cachorro|quente|Café|Ler livros"
2|"10142333|2020-03-04|Masculino|1951-02-26|gato|quente|Café|Ler livros"
3|"10142460|2020-03-04|Masculino|1961-10-17|cachorro|frio|Água|Assistir TV"
4|"10142506|2020-03-04|Masculino|1958-03-25|cachorro|moderado|Água|Pintar quadros"
5|"10142998|2020-03-04|Masculino|1987-07-11|gato|moderado|Água|Aprender algo novo"
6|"10143330|2020-03-04|Masculino|1982-02-23|cachorro|frio|refrigerante|Escutar música"
0|"10141547|2020-09-05|Feminino|1950-05-24|tartaruga|quente|Vinho|Escrever"
1|"10141931|2020-09-05|Feminino|1965-08-11|cachorro|frio|Chá|Assistir TV"
2|"10143264|2020-09-05|Masculino|1977-07-14|tartaruga|moderado|Cerveja|Escrever"
0|"10141777|2020-04-18|Masculino|1988-01-22|cachorro|moderado|Água|Praticar esporte"
1|"10141893|2020-04-18|Feminino|1965-07-07|peixe|quente|Chá|Assistir TV"
2|"10142703|2020-04-18|Masculino|1975-03-02|peixe|quente|Vinho|Ler livros"
3|"10142794|2020-04-18|Masculino|1985-03-09|gato|moderado|Chá|Dormir"
4|"10143017|2020-04-18|Masculino|1950-10-20|cachorro|quente|Vinho|Praticar esporte"
5|"10143196|2020-04-18|Masculino|1969-11-04|tartaruga|moderado|Vinho|Ler livros"
6|"10143204|2020-04-18|Masculino|1972-01-14|gato|frio|Chá|Escutar música"
0|"10141790|2020-02-20|Feminino|1997-10-30|tartaruga|frio|Café|Praticar esporte"
1|"10142110|2020-02-20|Masculino|1974-02-12|gato|moderado|Vinho|Aprender algo novo"
2|"10142554|2020-02-20|Masculino|1951-03-11|gato|quente|Café|Aprender algo novo"
3|"10142688|2020-02-20|Masculino|1950-02-05|tartaruga|quente|Chá|Aprender algo novo"
4|"10142768|2020-02-20|Masculino|1958-08-03|tartaruga|moderado|Água|Assistir TV"
5|"10143037|2020-02-20|Masculino|1999-06-16|tartaruga|moderado|Chá|Assistir TV"
6|"10143057|2020-02-20|Masculino|1954-04-17|tartaruga|frio|Água|Aprender algo novo"
7|"10143104|2020-02-20|Masculino|1982-08-06|peixe|moderado|Vinho|Aprender algo novo"
8|"10143131|2020-02-20|Feminino|1961-01-08|gato|moderado|Cerveja|Escrever"
0|"10141564|2020-02-07|Masculino|1956-10-16|gato|moderado|Chá|Aprender algo novo"
1|"10142270|2020-02-07|Masculino|1957-11-04|peixe|quente|Vinho|Praticar esporte"
2|"10143508|2020-02-07|Masculino|1978-07-07|gato|frio|Água|Dormir"
3|"10143556|2020-02-07|Feminino|1997-03-17|gato|quente|Cerveja|Praticar esporte"
